,stop_name,number_of_distinct_route_ids
2554,Boljevci (Ribolovački Klub),1
2557,Sremčica /Ulaz/,1
2558,Velika Moštanica /Groblje/,1
2559,Velika Moštanica /Groblje/,1
2560,Velika Moštanica /Ulaz/,1
2561,Velika Moštanica /Izlaz/,1
2562,Dobrivoja Jovanovića 2.Deo,1
2563,Dobrivoja Jovanovića 2.Deo,1
2564,Dobrivoja Jovanovića /Igralište/,1
2565,Dobrivoja Jovanovića /Igralište/,1
2566,Mate Miloševića,1
2567,Miljana Miljanića,1
2568,Vojvode Vlahovića 2,1
2569,Milovana Vidakovića,1
2570,Pećani (Groblje),1
2536,Nenadovac 3,1
2534,Nenadovac 1,1
1174,Batajnica /Železnička Stanica/,1
2500,Ralja /Drumine/,1
2507,Mage Magazinović,1
2506,Prvomajska,1
2505,Oš Desanka Maksimović,1
2504,Oš Desanka Maksimović,1
2502,Široki Put,1
2501,Pivljanina Baje 1,1
2499,Ralja /Drumine/,1
2533,Brđanska,1
2498,Ralja /Trafo/,1
1187,Koste Živkovića,1
1186,Košutnjak,1
1184,Zeleni Venac,1
1179,Vrtić Milica,1
1178,Vrtić Milica,1
2508,Bosanska,1
2509,Dvadesetog Oktobra ,1
2510,Mali Mokri Lug (Crkva),1
2511,Narodnog Fronta,1
2512,Pijaca ,1
2515,Novosadska,1
2516,Katice Opačić,1
2517,Sibnička Nova 4. Deo,1
2518,Sibnička Nova 4. Deo,1
2519,Kolarska,1
2523,Železnik /Tariš/,1
2524,Đure Jakšića,1
2525,Đure Jakšića,1
2529,Milije Marinkovića,1
2530,Milije Marinkovića,1
2531,Gradine,1
2532,Gradine,1
197,Učiteljsko Naselje,1
202,13. Maj /Ulaz/,1
2398,Trešnja /Koviona/,1
1031,Dragiše Lapčevića,1
2288,Savke Subotić,1
2287,Prote Jeftimija Ivanovića,1
2286,Prote Jeftimija Ivanovića,1
2285,Busije /Ulaz/,1
2284,Ilije Stojadinovića,1
1043,Blagoja Rankovića,1
1030,Dragiše Lapčevića,1
1027,Zvezdara 2,1
1029,Institut Mihajlo Pupin,1
2274,Timočki Put,1
2273,Timočki Put,1
2272,Lipovački Put,1
2271,Lipovački Put,1
2270,Institut Za Kukuruz,1
2289,Stanka Opačića Ćanice,1
2290,Nikole Begovića,1
2291,Busije /Crkva/,1
2292,Dr Živka Bertića,1
2293,Zeleni Venac,1
2294,Progar /Centar/,1
2295,12. Avgusta,1
2296,12.Avgusta,1
2297,Progar,1
1054,Bulevar Zorana Đinđića,1
2302,Solunska,1
1055,Bulevar Zorana Đinđića,1
1056,Blok 29,1
1057,Blok 29,1
1058,Fakultet Dramskih Umetnosti,1
1059,Fakultet Dramskih Umetnosti,1
1060,Petra Drapšina,1
1028,Institut Mihajlo Pupin,1
2267,Reva /Duboka Bara/,1
2396,Miška Kranjca,1
2231,Batajnica /Železnička Stanica/,1
2238,Savska,1
2237,Lole Ribara,1
2236,Ostružnica /Karaula/,1
2235,Lole Ribara,1
2234,Savska,1
2233,Milana Rakića,1
1530,Zvezdara /Pijaca/,1
2266,Mz Reva /Mali Raj/,1
2221,Ostružnica /Novo Naselje/,1
2220,Novo Naselje /Ulaz/,1
2219,Novo Naselje /Ulaz/,1
2218,Stare Barake,1
2217,Stare Barake,1
2216,Oš Karađorđe,1
2240,Kružni Put,1
2241,Dugo Polje,1
2242,Grmovac /25.Nova/,1
2243,Jovana Brankovića,1
2247,Dobanovački Put,1
2249,Ljiljane Krstić,1
2251,Školsko Dobro,1
2252,Stanka Tišme,1
2253,Busije 1,1
2255,Braće Smiljanić,1
2256,Bosanske Krajine,1
2257,Altina,1
2258,Viktora Starčića,1
2259,Pavla Vujisića,1
2260,Zire Adamović,1
2261,Abebe Bikila,1
1026,Zvezdara 2,1
2310,Ostružnica /Centar/,1
2311,Ostružnica /Centar/,1
2312,Dom Zdravlja,1
1463,Dom Kulture,1
1457,Ulaz U Zaklopaču,1
1458,4. Jula,1
1459,4. Jula,1
1460,Trafostanica,1
1461,Trafostanica,1
1462,Dom Kulture,1
2364,Srednji Prnjavor,1
2313,Milovana Čelebića,1
2363,Srednji Prnjavor,1
1464,Crkva Sv. Trojice,1
1465,Crkva Sv. Trojice,1
1466,Zaklopača,1
2359,"Oš ""1300 Kaplara""",1
2358,Pivljanina Baje,1
1456,Ulaz U Zaklopaču,1
1455,Mostine,1
1454,Mostine,1
1453,Put Za Zaklopaču,1
1452,Put Za Zaklopaču,1
2380,Pilota Mihaila Petrovića,1
2381,Labudovo Brdo,1
2382,Labudovo Brdo,1
2387,Topčiderski Park,1
2388,Železnička Stanica Topčider,1
2389,Topčiderska Okretnica,1
2390,Topčiderska Okretnica,1
2391,Patrijarha Pavla,1
2392,Patrijarha Pavla,1
2393,Košutnjak,1
2394,Košutnjak,1
2395,Miška Kranjca,1
2357,Milana Blagojevića Španca,1
2356,Pere Velimirovića,1
2355,Milana Blagojevića Španca,1
2331,Kapija Šumadije,1
1061,Blok 28,1
2317,Miloja Zakića,1
2318,Dimitrija Avramovića,1
2319,Krajiške Brigade,1
2320,Blok 26,1
2321,Blok 26,1
2322,Matice Srpske /Pijaca/,1
2323,Matice Srpske /Pijaca/,1
2324,Lazara Trifunovića,1
2325,Lazara Trifunovića,1
2326,Novo Bežanijsko Groblje,1
2327,Novo Bežanijsko Groblje,1
2329,Put Za Zuce,1
2330,Put Za Zuce,1
2332,Kapija Šumadije,1
2354,Pivljanina Baje ,1
2333,Šuplja Stena,1
2334,Šuplja Stena,1
2335,Raskrsnica-Vrčin,1
2336,Raskrsnica-Vrčin,1
2337,Rasadnik,1
2338,Rasadnik,1
2339,Prnjavor /Ulaz/,1
2340,Prnjavor /Ulaz/,1
2342,Prnjavor /Škola/,1
2347,Trešnja /Škola/,1
2348,Kumodraž (Stepina Kuća),1
2350,Ripanj /Centar/,1
2351,Ripanj /Centar/,1
1467,Zaklopača,1
3129,Manastir,1
