,stop_name,number_of_distinct_route_ids
1185,Karađorđev Trg,5
2103,Pretok,5
641,Milića Marinovića,5
642,Milića Marinovića,5
643,Beranska,5
860,Slavoljuba Vuksanovića,5
208,Jaše Prodanovića,5
646,Kumodraž 2,5
2945,Put Za Src,5
2102,Pretok,5
278,Aleksandra Dubčeka,5
651,Palih Boraca,5
231,Medaković 3,5
653,Mz Kumodraž,5
654,Mz Kumodraž,5
89,Sava Centar,5
90,Sava Centar,5
978,Jedanaeste Krajiške Divizije,5
28,Takovska,5
32,Vukov Spomenik,5
1238,Bratstva I Jedinstva,5
31,Mašinski Fakultet,5
2089,Josipa Telarevića,5
2071,Ane Ahmatove,5
240,Ortopedski Zavod,5
2306,Miljakovačka Šuma,5
23,Pijaca Skadarlija,5
1195,Borča 3,5
430,Mirijevo 3,5
170,Katanićeva,5
2077,Žs Pančevački Most,5
2428,Palata Pravde,5
26,Bulevar Despota Stefana,5
2430,Durmitorska,5
1196,Borča 3,5
173,Katanićeva,5
522,"Pijaca ""Kalenić""",5
34,Pravni Fakultet,5
917,Železnik /Centar/,5
91,Blok 23,5
1694,Aleksandra Dubčeka,5
92,Blok 23,5
687,Žarkovo,5
689,Ace Joksimovića,5
2059,Žs Pančevački Most,5
295,Oš Gavrilo Princip,5
296,Oš Gavrilo Princip,5
3006,Savski Park,5
695,Pilota Mihajla Petrovića,5
697,Janković Stojana,5
918,Železnik /Centar/,5
698,Janković Stojana,5
699,Marička,5
700,Marička,5
435,Semjuela Beketa,5
434,Semjuela Beketa,5
1930,Put Za Src,5
2091,Brđanska,5
35,Pravni Fakultet,5
977,Jedanaeste Krajiške Divizije,5
974,Labudovo Brdo,5
979,Generala Zgonjanina,5
885,Trg Slavija /Nemanjina/,5
1133,Braće Smiljanić,5
485,Ratka Mitrovića,5
774,Filipa Višnjića,5
773,Filipa Višnjića,5
772,Branka Pešića,5
771,Branka Pešića,5
770,Stadion Zemun,5
769,Stadion Zemun,5
767,Ugrinovačka,5
1177,Savski Trg,5
586,Vitezova Karađorđeve Zvezde,5
587,Vitezova Karađorđeve Zvezde,5
588,Selište,5
589,Selište,5
980,Generala Zgonjanina,5
591,Stojčino Brdo,5
1206,Valjevskog Odreda,5
3019,Beograd Na Vodi,5
1611,Nićiforovićeva,5
1613,Železnička Rampa,5
1022,Blok 42,5
1837,Franje Krča,5
1125,Naselje Ekonomija,5
1839,Zemun Polje,5
1126,Naselje Ekonomija,5
2155,Mali Zbeg,5
205,27. Marta,5
1127,Belarička,5
497,Dušanova,5
2156,Mali Zbeg,5
496,Dušanova,5
1615,Stevana Filipovića,5
1128,Batajnica (Ulaz),5
1129,Batajnica (Ulaz),5
1204,Milana Ajvaza,5
1832,Institut Za Kukuruz,5
54,Mašinski Fakultet,5
1078,Studentski Grad,5
2226,Milana Vujaklije,5
1131,Maksima Brankovića,5
2157,Groblje Zbeg,5
590,Stojčino Brdo,5
1783,Ugrinovci /Ulaz/,5
873,Drinska,5
2555,Belarička,5
353,Beogradska Arena /Antifašističke Borbe/,5
757,Omladinskih Brigada,5
3015,Bolnica,5
874,Žarkovo,5
754,Gandijeva,5
1122,Put Za 13. Maj,5
280,Kbc Zemun,5
3016,Bolnica,5
2138,Magelanova,5
279,Kbc Zemun,5
984,Rasinska,5
983,Rasinska,5
982,Milorada Draškovića,5
2172,Zlatanovići,5
981,Milorada Draškovića,5
1785,Beogradska,5
24,Pijaca Skadarlija,5
1787,Ugrinovci /Centar/,5
2160,Zemun Polje,5
3041,Savski Most,5
1788,Ugrinovci,5
1137,Batajnica (Centar),5
863,Miljakovac 2,5
862,Narod. Heroja Velizara Stankovića,5
1011,Staro Sajmište,5
875,Braće Vučković,5
1135,Majke Jugovića,5
2158,Groblje Zbeg,5
110,Oš Branko Radičević,4
111,Dr Ivana Ribara,4
1620,Gorica,4
106,Gandijeva,4
1642,Sremčica,4
1622,Sremčica /Ulaz/,4
112,Dr Ivana Ribara,4
107,Nehruova,4
105,Gandijeva,4
102,Omladinskih Brigada,4
1617,Žikice Jovanovića,4
103,Blok 70,4
1616,Žikice Jovanovića,4
1610,Nićiforovićeva,4
1614,Stevana Filipovića,4
109,Oš Branko Radičević,4
104,Blok 70,4
1612,Železnička Rampa,4
113,Blok 45,4
1619,Sare Bernar,4
108,Nehruova,4
894,Zeleni Venac,4
1499,Leštane,4
900,Božidara Stojanovića,4
1170,Mz Mladost,4
1163,Bežanijska Kosa (Ulaz),4
2958,Trg Slavija,4
39,Savski Trg,4
1150,Bežanijska Kosa (Izlaz),4
1143,Sc 11. April,4
1413,Hladnjača Pkb,4
1414,Hladnjača Pkb,4
1134,Majke Jugovića,4
1132,Braće Smiljanić,4
1130,Maksima Brankovića,4
1124,Ciglana,4
1123,Ciglana,4
1110,Blok 61,4
1109,Blok 61,4
1415,Vikendice,4
1416,Vikendice,4
1417,Plantaža,4
1418,Plantaža,4
1419,Bećarevo Brdo,4
1420,Bećarevo Brdo,4
2938,Studentski Trg,4
3007,Savski Park,4
1171,Mz Mladost,4
1497,Leštane /Ulaz/,4
1382,Ustanička,4
1242,Put Za Kovilovo,4
1237,Omladinski Stadion,4
1257,Kp Dom,4
1258,Kp Dom,4
1259,Sefkereški Kanal,4
1260,Sefkereški Kanal,4
1261,Put Za Vrbovski,4
1262,Put Za Vrbovski,4
1354,Rospi Ćuprija,4
1356,Trudbenička,4
1222,Agostina Neta,4
1221,Agostina Neta,4
1357,Trudbenička,4
3089,Palata Pravde 1,4
1208,Borča Raskršće,4
1358,Višnjička Banja,4
1359,Višnjika Banja,4
1360,Toplana,4
1361,Toplana,4
1362,Lešće,4
1363,Lešće,4
55,Vukov Spomenik /Bul.Kralja Aleksa./,4
1498,Leštane /Izlaz/,4
101,Omladinskih Brigada,4
1543,Radisava Ignjatovića,4
1545,Kaluđerica /Centar/,4
1546,Isidora Blagojevića,4
