,route_short_name,stop_name,average_wait
14690,602,Surčin /Centar/,0:28:26.153846
14698,607,Surčin /Centar/,1:31:52.500000
14700,75,Zeleni Venac,0:10:16.363636
14702,71,Zeleni Venac,0:13:35.853659
14706,67,Zeleni Venac,0:16:32.647059
14710,72,Zeleni Venac,0:31:03.157895
14714,60,Zeleni Venac,1:04:00
14715,60L,Zeleni Venac,1:04:17.142857
14716,101,Bratstva I Jedinstva,0:10:16.991150
14717,85,Bratstva I Jedinstva,0:16:56.363636
14722,106,Bratstva I Jedinstva,0:38:56
14725,101,Kosovopoljska,0:10:16.991150
14728,96,Kosovopoljska,0:11:43.917526
14731,106,Kosovopoljska,0:38:56
14734,101,Borča Raskršće,0:10:17.522124
14737,96,Borča Raskršće,0:11:47.142857
14738,105,Borča Raskršće,0:16:21.971831
14743,106,Borča Raskršće,0:38:58
14746,101,Pretok,0:10:17.522124
14747,85,Pretok,0:16:56.363636
14752,106,Pretok,0:38:56
14755,101,Groblje Zbeg,0:10:17.522124
14756,85,Groblje Zbeg,0:16:56.363636
14761,106,Groblje Zbeg,0:38:56
14764,101,Mali Zbeg,0:10:17.522124
14765,85,Mali Zbeg,0:16:56.363636
14770,106,Mali Zbeg,0:38:56
14773,101,Frikom,0:10:18.053097
14776,101,Pk Beograd,0:10:18.053097
14779,101,Put Za Kovilovo,0:10:18.053097
14782,101,Put Za Jabučki Rit,0:10:18.053097
14786,702L,Busije /Crkva/,0:10:18.103448
14788,101,Marije Ilić Agapove,0:10:18.584071
14791,107,Marije Ilić Agapove,0:57:15
14793,102,Marije Ilić Agapove,0:58:09.473684
14796,110,Marije Ilić Agapove,1:14:40
14798,109,Marije Ilić Agapove,1:16:00
14801,101,Padinska Skela,0:10:18.584071
14804,107,Padinska Skela,0:57:15
14806,102,Padinska Skela,0:58:09.473684
14810,110,Padinska Skela,1:14:40
14812,109,Padinska Skela,1:16:00
14814,101,Ratomira Stojadinovića,0:10:18.584071
14817,107,Ratomira Stojadinovića,0:57:15
14819,102,Ratomira Stojadinovića,0:58:09.473684
14822,110,Ratomira Stojadinovića,1:14:40
14825,109,Ratomira Stojadinovića,1:16:00
14827,101,Naselje Tovilište,0:10:18.584071
14830,107,Naselje Tovilište,0:57:15
14833,102,Naselje Tovilište,0:58:09.473684
14835,110,Naselje Tovilište,1:14:40
14837,109,Naselje Tovilište,1:16:04
14840,601,Biodekor,0:10:20.357143
14841,71,Biodekor,0:13:20
14844,610,Biodekor,0:17:27.761194
14847,604,Biodekor,0:20:15.789474
14848,605,Biodekor,0:22:36.923077
14851,72,Biodekor,0:30:58.378378
14858,601,Ledine,0:10:20.357143
14859,610,Ledine,0:17:27.761194
14862,604,Ledine,0:20:15.789474
14863,605,Ledine,0:22:36.923077
14868,72,Ledine,0:30:58.378378
14873,601,Nedeljka Gvozdenovića,0:10:20.357143
14874,71,Nedeljka Gvozdenovića,0:13:20.740741
14877,610,Nedeljka Gvozdenovića,0:17:27.761194
14880,604,Nedeljka Gvozdenovića,0:20:15.789474
14881,605,Nedeljka Gvozdenovića,0:22:35.769231
14884,72,Nedeljka Gvozdenovića,0:30:58.378378
14891,601,Novo Naselje,0:10:20.357143
14892,610,Novo Naselje,0:17:27.761194
14895,604,Novo Naselje,0:20:15.789474
14896,605,Novo Naselje,0:22:36.923077
14897,603,Novo Naselje,0:23:09.795918
14901,72,Novo Naselje,0:31:01.621622
14909,601,Sc Mladost,0:10:20.357143
14910,610,Sc Mladost,0:17:27.761194
14913,604,Sc Mladost,0:20:15.789474
14914,605,Sc Mladost,0:22:36.923077
14915,603,Sc Mladost,0:23:09.795918
14918,72,Sc Mladost,0:31:00
14927,601,Vikend Naselje,0:10:20.540541
14929,610,Vikend Naselje,0:17:06.268657
14931,604,Vikend Naselje,0:19:37.090909
14932,605,Vikend Naselje,0:21:36.923077
14933,603,Vikend Naselje,0:22:47.500000
14936,72,Vikend Naselje,0:30:46.666667
14945,601,Ledine,0:10:20.540541
14947,610,Ledine,0:16:53.636364
14949,604,Ledine,0:19:36
14950,605,Ledine,0:21:36.923077
14953,72,Ledine,0:30:43.333333
14960,601,Nedeljka Gvozdenovića,0:10:20.540541
14961,71,Nedeljka Gvozdenovića,0:13:37.857143
14965,610,Nedeljka Gvozdenovića,0:16:53.636364
14967,604,Nedeljka Gvozdenovića,0:19:34.909091
14968,605,Nedeljka Gvozdenovića,0:21:36.923077
14975,601,Vila Mara,0:10:20.892857
14976,610,Vila Mara,0:17:27.761194
