,route_short_name,stop_name,service_id,average_wait
11274,47,Aleksandra Vojinovića,Zimski-Radni Dan,0:08:11.666667
11275,47,Aleksandra Vojinovića,Zimski-Nedelja,0:11:05.094340
11276,504,Aleksandra Vojinovića,Zimski-Subota,0:19:02.105263
11277,504,Aleksandra Vojinovića,Zimski-Radni Dan,0:19:02.105263
11278,504,Aleksandra Vojinovića,Zimski-Nedelja,0:19:02.105263
11279,506,Aleksandra Vojinovića,Zimski-Radni Dan,0:29:35
11280,507,Aleksandra Vojinovića,Zimski-Radni Dan,0:34:34.838710
11281,507,Aleksandra Vojinovića,Zimski-Subota,0:34:34.838710
11282,507,Aleksandra Vojinovića,Zimski-Nedelja,0:34:34.838710
11283,506,Aleksandra Vojinovića,Zimski-Subota,0:38:34.285714
11284,506,Aleksandra Vojinovića,Zimski-Nedelja,0:38:34.285714
11285,503,Aleksandra Vojinovića,Zimski-Radni Dan,0:42:17.500000
11286,503,Aleksandra Vojinovića,Zimski-Nedelja,1:12:30
11287,503,Aleksandra Vojinovića,Zimski-Subota,1:12:30
11288,47,Resnik /Izlaz/,Zimski-Subota,0:08:01.632653
11289,47,Resnik /Izlaz/,Zimski-Radni Dan,0:08:10.833333
11290,94,Resnik /Izlaz/,Zimski-Radni Dan,0:09:12.786885
11291,47,Resnik /Izlaz/,Zimski-Nedelja,0:11:05.094340
11292,94,Resnik /Izlaz/,Zimski-Subota,0:11:33.750000
11293,94,Resnik /Izlaz/,Zimski-Nedelja,0:12:03.260870
11294,504,Resnik /Izlaz/,Zimski-Subota,0:19:02.105263
11295,504,Resnik /Izlaz/,Zimski-Radni Dan,0:19:02.105263
11296,504,Resnik /Izlaz/,Zimski-Nedelja,0:19:02.105263
11297,47,Ispod Tunela,Zimski-Subota,0:08:01.632653
11298,47,Ispod Tunela,Zimski-Radni Dan,0:08:10.833333
11299,94,Ispod Tunela,Zimski-Radni Dan,0:09:12.295082
11300,47,Ispod Tunela,Zimski-Nedelja,0:11:05.094340
11301,94,Ispod Tunela,Zimski-Subota,0:11:33.750000
11302,94,Ispod Tunela,Zimski-Nedelja,0:12:03.260870
