,stop_name,Number of trips
1118,Džona Kenedija,494
3248,Železnička Stanica Tošin Bunar,493
2618,Nemanjina,492
1264,Fontana,492
7286,Durmitorska,492
1125,22. Oktobra,491
1122,Poljoprivredni Fakultet,491
91,Palilulska Pijaca,490
2119,Palilulska Pijaca,490
125,Braće Baruh,489
402,Visoka Škola Elektrotehnike,489
378,Kralja Vladimira,489
68,Dorćol /Kneginje Ljubice/,489
390,Petrovačka,489
131,Kralja Petra,489
408,Saobraćajni Fakultet,489
396,Nikšićka,489
369,Trg Oslobođenja,489
384,Vitanovačka,489
9014,Savski Park,488
4814,Čukarica,487
139,Vatrogasna Komanda,487
1549,Omladinski Stadion,487
145,Novo Groblje,487
114,Savski Trg,486
1156,Tršćanska,486
672,Šumice,485
3334,Zemun /Gornji Grad/,484
1382,Mostar,483
837,Kbc Zemun,483
5077,Aleksandra Dubčeka,483
6227,Žs Pančevački Most,483
1172,Ruska,481
28,Ekonomski Fakultet,481
988,Šest Kaplara,480
4817,Čukarica,480
128,Kralja Petra,479
3325,"Naselje ""Dr Ivan Ribar""",479
65,Dorćol /Kneginje Ljubice/,479
96,Vukov Spomenik,478
2955,Petlovo Brdo,478
840,Kbc Zemun,478
834,Aleksandra Dubčeka,478
3337,Zemun /Gornji Grad/,478
2958,Petlovo Brdo,477
2705,Ulica Oslobođenja ,477
224,Koste Trifkovića,476
1159,Tršćanska,476
3322,Dr Ivana Ribara,476
223,Koste Trifkovića,476
2495,Kanarevo Brdo,476
252,Ekonomski Fakultet,476
2489,Srpskih Udarnih Brigada,476
6208,Ane Ahmatove,475
4163,"Oš ""Dragojlo Dudić""",474
100,Vukov Spomenik,474
1152,Dunavska,473
2284,Erport Siti,473
832,Makedonska,473
4156,Mirijevska,472
613,Makedonska,471
6206,Kneževac,471
690,Medaković 3,470
220,Koste Trifkovića,470
221,Koste Trifkovića,470
1149,Dunavska,469
2708,Ulica Oslobođenja ,468
1944,Institut Torlak,468
2239,Blok 45,467
2245,Dr Ivana Ribara 1,467
212,Dr Velizara Kosanovića,466
1133,Zemun /Pošta/,466
218,Mite Ružića,466
92,Palilulska Pijaca,466
1169,Ruska,466
820,Džona Kenedija,465
2202,Dr Ivana Ribara,465
2253,Nehruova,465
2247,Oš Branko Radičević,465
2236,Blok 45,465
2242,Dr Ivana Ribara 1,465
828,Karađorđev Trg,463
2250,Oš Branko Radičević,463
816,Hotel Jugoslavija,463
2256,Nehruova,463
933,Vojvode Micka Krstića,462
6577,Kalemarska,462
6217,Farmaceutski Fakultet,462
971,Skadarska,462
1941,Institut Torlak,462
930,Patrisa Lumumbe,462
924,Diljska,462
918,Stevana Hristića,462
912,Husinjskih Rudara,462
906,Salvadora Aljendea,462
2120,Palilulska Pijaca,462
4151,Bajdina,461
4153,Mirijevska,461
4147,Bajdina,461
209,Dr Velizara Kosanovića,461
4159,"Oš ""Dragojlo Dudić""",461
2277,Tehnička Škola Novi Beograd,460
903,Salvadora Aljendea,459
974,Dom Omladine,459
2280,Tehnička Škola Novi Beograd,459
927,Patrisa Lumumbe,459
915,Stevana Hristića,459
909,Husinjskih Rudara,459
921,Diljska,459
117,Savski Trg,458
2076,Ratka Mitrovića,457
499,Rk Beograđanka,457
7120,Omladinskih Brigada,457
493,Terazije,457
696,Glavna Pošta,457
2070,Ace Joksimovića,457
699,Glavna Pošta,456
508,Trg Slavija,456
4227,Zdravstvena St. Leštane I Vinča,456
502,Rk Beograđanka,456
4203,Čardak,455
4209,Hotel Radmilovac,455
4185,Put Za Institut,455
4221,Dušana  Petrovića Šaneta,455
4215,Petra Kočića,455
7287,Durmitorska,454
487,Trg Republike,454
813,Hotel Jugoslavija,453
1073,Franše Deperea,453
1079,Deligradska,453
2067,Ace Joksimovića,453
2061,Žarkovo,453
510,Katanićeva,452
3238,Studentski Grad,452
6163,Dorćol /Dunavska/,452
505,Trg Slavija,451
258,Staro Sajmište,451
1474,Vidikovački Venac,451
1468,Mz Vidikovac,451
1465,Mz Vidikovac,451
154,Studentski Trg,451
1545,Sup Palilula,450
1463,Pilota Mihajla Petrovića,450
2966,Vojno Medicinski Centar,449
120,Braće Baruh,449
833,Makedonska,449
519,Katanićeva,448
1082,Deligradska,447
989,Šest Kaplara,447
1076,Franše Deperea,447
2498,Vareška,446
4200,Čardak,445
4206,Hotel Radmilovac,445
4218,Dušana  Petrovića Šaneta,445
1501,Resavska,445
4212,Petra Kočića,445
2051,Železnička Stanica Dunav,444
614,Makedonska,443
1265,Fontana,443
3540,Zadrugarska,442
569,Petrinjska,441
1114,Džona Kenedija,441
1120,Prve Pruge - Retenzija,441
560,Šumice,440
566,Petrinjska,440
572,Konjarnik,440
101,Vukov Spomenik,440
1123,Poljoprivredni Fakultet,440
1332,Savski Trg (Savska),440
4157,Mirijevska,439
3485,Nikole Dobrovića,438
6222,Banovo Brdo,438
3446,Dr Huga Klajna,438
3543,Zadrugarska,438
687,Svetozara Radojčića,436
9012,Savski Park,436
681,Medaković 2,436
5034,Savski Trg (Savska),436
2013,Palata Pravde,436
684,Svetozara Radojčića,436
