,stop_name,Number of trips
3967,Jabučki Rit,42
2418,Kosmajska,42
2685,Kosmajska,42
7057,Pivljanina Baje ,42
6643,Oš Karađorđe,42
7060,Milana Blagojevića Španca,42
4295,Vase Čarapića,42
7063,Pere Velimirovića,42
6523,Petrovića Brdo,42
7066,Milana Blagojevića Španca,42
6337,Ljube Rankovića,42
7069,Pivljanina Baje,42
4301,Šumadijska,42
4304,Grocka,42
6652,Novo Naselje /Ulaz/,42
6334,Ljube Rankovića,42
4283,Careva Glavica,42
8324,Dedinje (Ortopedska Bolnica),42
6655,Novo Naselje /Ulaz/,42
4271,Usek,42
8339,Omladinska,42
8336,Omladinska,42
8333,Miloja Đaka,42
5897,Đure Gajića,42
5547,13. Maj,42
5546,13. Maj,42
8330,Miloja Đaka,42
6328,Crkva,42
8327,Dedinje (Ortopedska Bolnica),42
4277,Suva Česma,42
3983,Amd Grocka,42
6649,Stare Barake,42
6634,Petrovića Brdo,42
6331,Crkva,42
6928,Ostružnica /Centar/,42
6637,Okretnica /Česma/,42
8463,Astrid Lindgren,42
7498,Pivljanina Baje 1,42
8462,Astrid Lindgren,42
4292,Vase Čarapića,41
2766,Privredna Zona Makiš,41
4280,Careva Glavica,41
6484,Reni Bunar,41
4268,Usek,41
4298,Šumadijska,41
5934,Šumareva Kuća,41
4286,Gročica,41
6496,Vodovod,41
4262,Put Za Zaklopaču,41
6490,Taložnik,41
5937,Šumareva Kuća,41
4274,Suva Česma,41
1848,Mz Makiš,41
1956,Src Makiš,41
8458,Vladimira Tomanovića,41
1363,Učiteljsko Naselje,41
1364,Učiteljsko Naselje,41
7425,Borisa Kidriča,41
6291,Braće Srnić,41
6160,Mostogradnja,41
5623,Mike Alasa,41
8456,Vladimira Tomanovića,41
8457,Vladimira Tomanovića,41
6573,Veliki Mokri Lug (Izlaz),41
6697,Savska,41
4343,Zelengora,41
6572,Veliki Mokri Lug (Izlaz),41
7841,Radiofar,41
6700,Lole Ribara,41
5761,Makiška,41
7840,Radiofar,41
5655,Kosmajska,41
6307,Nadvožnjak,41
1358,Budvanska,41
1357,Budvanska,41
4349,Ulica Revolucije,41
6290,Braće Srnić,41
1352,Rudo,41
3980,Amd Grocka,41
4325,Begaljički Most,41
4331,Vinogradi,41
4319,Bosansko Naselje,41
4337,Begaljica /Ulaz/,41
4307,Ja,41
4313,15. Maja,41
1351,Rudo,41
6499,Vodovod,40
7774,Dragomira Momčilovića,40
4102,Slanci /Ulaz/,40
4123,Teslina,40
4124,Teslina,40
4103,Slanci /Ulaz/,40
7789,Oš Jovan Sterija Popović,40
6500,Vodovod,40
7756,Silosi,40
6501,Vodovod,40
4105,Izvorska,40
4106,Izvorska,40
4126,Teslina,40
1542,Src Makiš,40
4127,Teslina,40
7762,Surčin Naselje (Ulaz),40
1543,Src Makiš,40
4129,Omladinska,40
4108,Izvorska,40
4121,Veterinarska Stanica,40
7750,Kanal Galovica,40
4120,Veterinarska Stanica,40
4112,Slanci /Škola/,40
4090,Lešće /Ulaz/,40
4114,Slanci /Škola/,40
7744,Mz Novi Surčin,40
4115,Slanci /Škola/,40
4091,Lešće /Ulaz/,40
4093,Lešće /Ulaz/,40
6498,Vodovod,40
4117,Veterinarska Stanica,40
4094,Lešće /Ulaz/,40
6162,Mostogradnja,40
6161,Mostogradnja,40
4130,Omladinska,40
4118,Veterinarska Stanica,40
4109,Izvorska,40
4099,Slanci /Ulaz/,40
6159,Mike Alasa,40
6158,Mike Alasa,40
7777,Surčin (Centar),40
6157,Mike Alasa,40
4100,Slanci /Ulaz/,40
4111,Slanci /Škola/,40
7768,Ritska Ulica,40
8065,Vinogradska (Plandište),40
4132,Omladinska,40
5765,Makiška,40
5766,Makiška,40
6708,Lole Ribara,40
6707,Lole Ribara,40
8644,Trebež (Okretnica),40
6706,Lole Ribara,40
8643,Trebež (Okretnica),40
8642,Trebež (Okretnica),40
9056,Park Ključ,40
6702,Lole Ribara,40
6701,Lole Ribara,40
6699,Savska,40
6698,Savska,40
9059,Don Kihotova,40
9062,Žička,40
6398,Pekara,40
6399,Pekara,40
2767,Privredna Zona Makiš,40
6401,Pekara,40
6402,Pekara,40
5652,Kosmajska,40
6294,Mostogradnja,40
4487,Stari Put Za Boleč,40
4486,Stari Put Za Boleč,40
4481,Elektrodistribucija,40
4480,Elektrodistribucija,40
6709,Savska,40
5764,Makiška,40
4474,Skladište Boja,40
6308,Nadvožnjak,40
1957,Src Makiš,40
1958,Src Makiš,40
3810,Vrbovski,40
3811,Vrbovski,40
3812,Vrbovski,40
1853,Mz Makiš,40
8708,Novobeogradskih Graditelja,40
1852,Mz Makiš,40
1851,Mz Makiš,40
1850,Mz Makiš,40
1849,Mz Makiš,40
9053,Jakovička Src ,40
5031,Src  Surčin (Ulaz),40
6321,Srpska Kruna,40
6320,Srpska Kruna,40
6318,Srpska Kruna,40
6317,Srpska Kruna,40
6711,Savska,40
6710,Savska,40
5762,Makiška,40
5763,Makiška,40
6312,Nadvožnjak,40
6311,Nadvožnjak,40
6310,Nadvožnjak,40
6309,Nadvožnjak,40
4475,Skladište Boja,40
5625,Mike Alasa,40
4334,Begaljica /Ulaz/,40
4340,Zelengora,40
6293,Mostogradnja,40
4328,Vinogradi,40
4322,Begaljički Most,40
4316,Bosansko Naselje,40
7726,Mz Ledine,40
4310,15. Maja,40
7732,Vodeničarska,40
7738,Go Surčin (Ulaz),40
3207,Jurija Gagarina,40
1544,Src Makiš,40
6485,Reni Bunar,40
6486,Reni Bunar,40
6487,Reni Bunar,40
6488,Reni Bunar,40
6489,Reni Bunar,40
6491,Taložnik,40
6492,Taložnik,40
6493,Taložnik,40
6494,Taložnik,40
6495,Taložnik,40
7870,Vinogradska (Surčin Naselje),40
6497,Vodovod,40
4139,Mz Veliko Selo,40
4138,Mz Veliko Selo,40
4136,Mz Veliko Selo,40
4135,Mz Veliko Selo,40
4133,Omladinska,40
3213,Blok 70,40
5624,Mike Alasa,40
8301,Veliko Selo (Ulaz),40
6292,Mostogradnja,40
2768,Privredna Zona Makiš,40
7720,Vinogradska (Ulaz),40
5604,Privredna Zona Makiš,40
4346,Ulica Revolucije,40
6456,Sremčica /Ulaz/,40
8302,Veliko Selo (Ulaz),40
1023,Antifašističke Borbe,40
8299,Veliko Selo (Ulaz),40
5603,Privredna Zona Makiš,40
7422,Borisa Kidriča,40
5602,Privredna Zona Makiš,40
8298,Veliko Selo (Ulaz),40
8812,Groblje,39
8705,Novobeogradskih Graditelja,39
8062,Vinogradska (Plandište),39
8811,Groblje,39
7747,Kanal Galovica,39
7867,Vinogradska (Surčin Naselje),39
7551,Sibnička Nova 4. Deo,39
7741,Mz Novi Surčin,39
7550,Sibnička Nova 4. Deo,39
7753,Silosi,39
7548,Sibnička Nova 4. Deo,39
7372,Karagačka,39
7771,Dragomira Momčilovića,39
7426,Kasarna /Glavni Ulaz/,39
7547,Sibnička Nova 4. Deo,39
7735,Go Surčin (Ulaz),39
7765,Ritska Ulica,39
7759,Surčin Naselje (Ulaz),39
7729,Vodeničarska,39
7717,Vinogradska (Ulaz),39
7375,Karagačka,39
7723,Mz Ledine,39
7429,Kasarna /Glavni Ulaz/,39
5968,Zuce /Crkva/,39
4010,Blok Braća Marić,39
4483,Stari Put Za Boleč,39
3998,Janko Lisjak,39
4000,Blok Braća Marić,39
5590,"Src ""Surčin"" /Ulaz/",39
4001,Blok Braća Marić,39
4003,Progres,39
4004,Progres,39
4471,Skladište Boja,39
4472,Skladište Boja,39
4477,Elektrodistribucija,39
4006,Janko Lisjak,39
4007,Janko Lisjak,39
4009,Blok Braća Marić,39
4478,Elektrodistribucija,39
2984,Cvijićeva,39
3995,Rafinerija,39
4027,Balkan,39
4054,Sibnica,39
4043,Naselje Ilić,39
3210,Blok 70 -Okretnica,39
4028,Balkan,39
4057,Mz Reva /Mali Raj/,39
4031,Balkan,39
4033,Radiostanica,39
3204,Jurija Gagarina,39
3031,Staro Sajmište,39
4034,Radiostanica,39
4484,Stari Put Za Boleč,39
2045,Klanički Kej,39
3997,Janko Lisjak,39
3994,Rafinerija,39
5965,Zuce /Centar/,39
3985,Hidrotehnika,39
4058,Mz Reva /Mali Raj/,39
5264,Braće Suzić,39
4036,Radiostanica,39
4055,Sibnica,39
5300,Stevana Jovanovića,39
6795,Mz Reva /Mali Raj/,39
6794,Mz Reva /Mali Raj/,39
3970,Progres,39
3971,Progres,39
3973,Politika,39
3974,Politika,39
3976,Politika,39
3977,Politika,39
4039,Naselje Ilić,39
5971,Zuce /Crkva/,39
5073,Dunavac,39
3986,Hidrotehnika,39
3988,Hidrotehnika,39
3989,Hidrotehnika,39
5983,Zuce /Brđani 2/,39
5980,Zuce /Brđani 2/,39
5977,Zuce /Brđani 1/,39
5974,Zuce /Brđani 1/,39
3991,Rafinerija,39
3992,Rafinerija,39
4040,Naselje Ilić,39
5270,Surčin /Izlaz/,39
4042,Naselje Ilić,39
2044,Klanički Kej,39
4030,Balkan,39
4037,Radiostanica,39
5953,Zuce /Prodavnica/,39
4051,Sibnica,39
4046,Deseti Kilometar,39
5288,Naselje Pik,39
5950,Zuce /Prodavnica/,39
2033,Knežopoljska,39
2032,Knežopoljska,39
5947,Zuce (Ulaz),39
4726,Mz Pinosava,39
4727,Mz Pinosava,39
5944,Zuce (Ulaz),39
5294,Bezdan,39
5276,Surčinska Petlja,39
4052,Sibnica,39
5941,Put Za Zuce,39
4732,Oš Vasa Čarapić,39
5938,Put Za Zuce,39
4733,Oš Vasa Čarapić,39
2038,Viline Vode,39
5699,Surčin /Centar/,39
5282,Industrijska Zona Dobanovci,39
4738,Zadruga,39
5962,Zuce /Centar/,39
4739,Zadruga,39
4048,Deseti Kilometar,39
2039,Viline Vode,39
4049,Deseti Kilometar,39
4045,Deseti Kilometar,39
5959,Zuce /Ambulanta/,39
5956,Zuce /Ambulanta/,39
1348,Rudo,38
1354,Budvanska,38
5273,Surčin /Izlaz/,38
4741,Zadruga,38
6288,Braće Srnić,38
6451,Železnik /Tariš/,38
6452,Železnik /Tariš/,38
1349,Rudo,38
6287,Braće Srnić,38
1355,Budvanska,38
7590,Gradine,38
6453,Železnik /Tariš/,38
4742,Zadruga,38
7588,Gradine,38
7589,Gradine,38
4976,Like Ružića,38
4744,Groblje,38
4745,Groblje,38
4926,Vidikovac,38
4927,Vidikovac,38
4928,Vidikovac,38
5279,Surčinska Petlja,38
5658,Centroprom,38
5657,Centroprom,38
5303,Stevana Jovanovića,38
5285,Industrijska Zona Dobanovci,38
5291,Naselje Pik,38
7567,Đure Jakšića,38
4975,Like Ružića,38
6084,Medaković 3,38
2035,Knežopoljska,38
2036,Knežopoljska,38
6072,Buljubašine Vode,38
2041,Viline Vode,38
8991,Veselina Čajkanovića,38
8992,Veselina Čajkanovića,38
6077,Veliki Mokri Lug,38
6065,Stari Vinogradi,38
6078,Veliki Mokri Lug,38
7569,Đure Jakšića,38
7568,Đure Jakšića,38
2042,Viline Vode,38
2048,Klanički Kej,38
2047,Klanički Kej,38
5267,Braće Suzić,38
580,Rimska,38
4729,Mz Pinosava,38
4730,Mz Pinosava,38
5297,Bezdan,38
581,Rimska,38
1360,Učiteljsko Naselje,38
6071,Buljubašine Vode,38
5309,Dobanovci /Centar/,38
6083,Medaković 3,38
4735,Oš Vasa Čarapić,38
6066,Stari Vinogradi,38
6597,Veliki Mokri Lug (Ulaz),38
4969,Mz Rušanj,38
4970,Mz Rušanj,38
4736,Oš Vasa Čarapić,38
6596,Veliki Mokri Lug (Ulaz),38
1361,Učiteljsko Naselje,38
6333,Crkva,37
2419,Kosmajska,37
6644,Oš Karađorđe,37
6656,Novo Naselje /Ulaz/,37
6651,Stare Barake,37
6650,Stare Barake,37
6657,Novo Naselje /Ulaz/,37
6648,Stare Barake,37
6647,Stare Barake,37
6645,Oš Karađorđe,37
6642,Oš Karađorđe,37
1713,Nedeljka Gvozdenovića,37
6641,Oš Karađorđe,37
6927,Ostružnica /Centar/,37
6639,Okretnica /Česma/,37
6638,Okretnica /Česma/,37
6636,Petrovića Brdo,37
6635,Petrovića Brdo,37
6332,Crkva,37
6926,Ostružnica /Centar/,37
6525,Petrovića Brdo,37
6929,Ostružnica /Centar/,37
8496,Velika Moštanica (Živojina Tabakovića),37
6524,Petrovića Brdo,37
6329,Crkva,37
6930,Ostružnica /Centar/,37
4972,Like Ružića,37
4967,Mz Rušanj,37
4966,Mz Rušanj,37
2686,Kosmajska,37
2687,Kosmajska,37
6330,Crkva,37
8814,Donji Kraj,37
8815,Donji Kraj,37
6339,Ljube Rankovića,37
6338,Ljube Rankovića,37
6336,Ljube Rankovića,37
6335,Ljube Rankovića,37
6653,Novo Naselje /Ulaz/,37
4973,Like Ružića,37
6654,Novo Naselje /Ulaz/,37
2420,Kosmajska,37
8817,Donji Kraj,36
8271,Metro,36
8818,Donji Kraj,36
6761,Braće Smiljanić,36
6762,Braće Smiljanić,36
6764,Bosanske Krajine,36
6765,Bosanske Krajine,36
7570,Đure Jakšića,36
7566,Železnik /Tariš/,36
7571,Đure Jakšića,36
7572,Đure Jakšića,36
3524,Batajnica /Železnička Stanica/,36
8942,Pašinac,36
8773,Katice Opačić 1,36
6753,Stanka Tišme,36
7565,Železnik /Tariš/,36
3523,Batajnica /Železnička Stanica/,36
6752,Stanka Tišme,36
8270,Metro,36
7564,Železnik /Tariš/,36
6726,Jovana Brankovića,36
6725,Jovana Brankovića,36
7541,Novosadska,36
7542,Novosadska,36
8954,Brestovačka,36
7544,Katice Opačić,36
7545,Katice Opačić,36
1715,Nedeljka Gvozdenovića,36
8720,Topčiderska Reka - Prilaz,36
8717,Topčiderska Reka - Prilaz,36
8772,Katice Opačić 1,36
8939,Pašinac,36
7630,Žikice Jovanovića,36
8657,Resnik (Železnička Pruga),36
8945,8. Septembra,36
8936,Dr Aćima Medovića,36
7593,Gradine,36
7592,Gradine,36
7591,Gradine,36
8933,Dr Aćima Medovića,36
9123,Železnička Stanica Zemun,36
8948,8. Septembra,36
8672,Nova 3 - Prilaz,36
8669,Nova 3 - Prilaz,36
8666,Delovi - Prilaz,36
8663,Delovi - Prilaz,36
8660,Resnik (Železnička Pruga),36
1714,Nedeljka Gvozdenovića,36
8951,Brestovačka,36
7502,Široki Put,36
7503,Široki Put,36
7631,Žikice Jovanovića,36
7632,Žikice Jovanovića,36
5058,Preliv,35
6233,Prilivak,35
1025,Antifašističke Borbe,35
6149,Slovačko Groblje,35
6254,Druga Nova,35
6350,Braće Jakovljević,35
6351,Braće Jakovljević,35
6353,Braće Jakovljević,35
6354,Braće Jakovljević,35
6356,Glumačka,35
6363,Beli Potok,35
6531,Stovarište,35
7658,Boljevci (Ribolovački Klub),35
6530,Stovarište,35
5070,Japanski Cvet,35
6150,Slovačko Groblje,35
6357,Glumačka,35
1024,Antifašističke Borbe,35
6359,Glumačka,35
6090,Vikend Naselje 1,35
5064,Nasipska Čuvarnica,35
6234,Prilivak,35
6255,Druga Nova,35
7659,Boljevci (Ribolovački Klub),35
6362,Beli Potok,35
6360,Glumačka,35
7554,Kolarska,35
6885,12.Avgusta,35
6036,Živača Ribnjak,35
5572,Besni Fok,35
6041,Živača /Izlaz/,35
6042,Živača /Izlaz/,35
8781,Živka Davidovića,35
8782,Živka Davidovića,35
6884,12.Avgusta,35
6047,Bojčinska Šuma,35
8784,Živka Davidovića,35
8785,Živka Davidovića,35
3215,Blok 70,35
6011,Ribarska,35
3209,Jurija Gagarina,35
3208,Jurija Gagarina,35
6035,Živača Ribnjak,35
8359,Živača,35
5993,Jakovo Čelik,35
8358,Živača,35
5994,Jakovo Čelik,35
6030,Boljevci /Izlaz/,35
6029,Boljevci /Izlaz/,35
7553,Kolarska,35
5999,Boljevci /Zapis/,35
6000,Boljevci /Zapis/,35
6024,Boljevci /Centar/,35
6023,Boljevci /Centar/,35
6018,Relje Oparušića,35
6017,Relje Oparušića,35
6005,Šest Topola,35
6006,Šest Topola,35
6012,Ribarska,35
6806,Institut Za Kukuruz,35
3214,Blok 70,35
6048,Bojčinska Šuma,35
7533,Pijaca ,35
6056,Progar /Centar/,35
6057,Progar /Centar/,35
7508,Oš Desanka Maksimović,35
7509,Oš Desanka Maksimović,35
7532,Pijaca ,35
7511,Oš Desanka Maksimović,35
7512,Oš Desanka Maksimović,35
7514,Prvomajska,35
7530,Narodnog Fronta,35
7515,Prvomajska,35
7517,Mage Magazinović,35
7518,Mage Magazinović,35
7520,Bosanska,35
7521,Bosanska,35
7523,Dvadesetog Oktobra ,35
7524,Dvadesetog Oktobra ,35
6054,Progar /Ulaz/,35
8863,Jerusalimska,35
8862,Jerusalimska,35
6689,Batajnica /Železnička Stanica/,35
6690,Batajnica /Železnička Stanica/,35
6089,Vikend Naselje 1,35
8268,Metro,35
9120,Železnička Stanica Zemun,35
7529,Narodnog Fronta,35
8267,Metro,35
6053,Progar /Ulaz/,35
5810,Đure Gajića,35
7656,Boljevci (Ribolovački Klub),34
6260,Mz Jakovo,34
522,Vojvode Dragomira,34
6003,Šest Topola,34
6008,Ribarska,34
6002,Šest Topola,34
6261,Mz Jakovo,34
7655,Boljevci (Ribolovački Klub),34
5990,Jakovo Čelik,34
5997,Boljevci /Zapis/,34
7035,Avalski Cvet,34
528,Crveni Krst,34
3075,Toplana,34
3205,Jurija Gagarina,34
3206,Jurija Gagarina,34
3211,Blok 70 -Okretnica,34
3212,Blok 70 -Okretnica,34
7032,Avalski Cvet,34
5996,Boljevci /Zapis/,34
7029,Trešnja,34
7026,Trešnja,34
523,Vojvode Dragomira,34
7020,Prnjavor /Škola/,34
529,Crveni Krst,34
5991,Jakovo Čelik,34
6009,Ribarska,34
6051,Progar /Ulaz/,34
6527,Stovarište,34
8430,Institut Jaroslav Černi,34
535,Bregalnička,34
6882,12. Avgusta,34
6528,Stovarište,34
6879,Progar /Centar/,34
6878,Progar /Centar/,34
6044,Bojčinska Šuma,34
6231,Prilivak,34
6230,Prilivak,34
8431,Institut Jaroslav Černi,34
8429,Institut Jaroslav Černi,34
6039,Živača /Izlaz/,34
6045,Bojčinska Šuma,34
8140,Trešnja /Okretnica/,34
540,Velimira Todorovića,34
541,Velimira Todorovića,34
6050,Progar /Ulaz/,34
6147,Slovačko Groblje,34
6146,Slovačko Groblje,34
6086,Vikend Naselje 1,34
6087,Vikend Naselje 1,34
534,Bregalnička,34
6881,12. Avgusta,34
8355,Živača,34
8356,Živača,34
6020,Boljevci /Centar/,34
6021,Boljevci /Centar/,34
6252,Druga Nova,34
6251,Druga Nova,34
6014,Relje Oparušića,34
6026,Boljevci /Izlaz/,34
6027,Boljevci /Izlaz/,34
6015,Relje Oparušića,34
6032,Živača Ribnjak,34
8142,Trešnja /Okretnica/,34
8141,Trešnja /Okretnica/,34
6033,Živača Ribnjak,34
6038,Živača /Izlaz/,34
4398,Zaklopača,33
5055,Preliv,33
4392,Crkva Sv. Trojice,33
4380,Trafostanica,33
8212,Vrčin ,33
8206,Vrčin - Nadvožnjak,33
8188,Janković Kraj,33
4368,Ulaz U Zaklopaču,33
4374,4. Jula,33
8182,Zaklopača (Ćelije),33
4362,Mostine,33
4356,Put Za Zaklopaču,33
8194,17. Januara,33
5569,Besni Fok,33
4386,Dom Kulture,33
5061,Nasipska Čuvarnica,33
6776,Zire Adamović,33
6771,Viktora Starčića,33
3539,Vrtić Milica,33
531,Crveni Krst,33
532,Crveni Krst,33
537,Bregalnička,33
538,Bregalnička,33
543,Velimira Todorovića,33
544,Velimira Todorovića,33
6365,Beli Potok,33
549,Škola Vojislav Ilić,33
6780,Abebe Bikila,33
6777,Zire Adamović,33
6774,Pavla Vujisića,33
6773,Pavla Vujisića,33
6779,Abebe Bikila,33
6770,Viktora Starčića,33
6738,Dobanovački Put,33
6366,Beli Potok,33
550,Škola Vojislav Ilić,33
6737,Dobanovački Put,33
3538,Vrtić Milica,33
5067,Japanski Cvet,33
8200,Vrčin Gornji Kraj,33
6768,Altina,32
6743,Ljiljane Krstić,32
8366,Đurđevdanska,32
8367,Đurđevdanska,32
8368,Đurđevdanska,32
8376,Zabran Torlak,32
8369,Đurđevdanska,32
8374,Zabran Torlak,32
8370,Đurđevdanska,32
6744,Ljiljane Krstić,32
8375,Zabran Torlak,32
6767,Altina,32
8372,Zabran Torlak,32
8373,Zabran Torlak,32
8371,Đurđevdanska,32
3536,Vrtić Milica,32
8365,Zemljoradnička (Ulaz),32
8179,Zaklopača (Ćelije),32
9323,Železnička Stanica Beograd Centar,32
4395,Zaklopača,32
8191,17. Januara,32
9322,Železnička Stanica Beograd Centar,32
8185,Janković Kraj,32
9321,Železnička Stanica Beograd Centar,32
8317,Saveza Boraca 1,32
8378,Zemljoradnička (Put Za Deponiju),32
8316,Saveza Boraca 1,32
9320,Železnička Stanica Beograd Centar,32
8315,Saveza Boraca 1,32
8314,Saveza Boraca 1,32
8313,Saveza Boraca 1,32
8312,Saveza Boraca 1,32
4389,Crkva Sv. Trojice,32
9324,Železnička Stanica Beograd Centar,32
9325,Železnička Stanica Beograd Centar,32
8123,Saveza Boraca,32
8124,Saveza Boraca,32
8125,Beli Potok /Naselje Kolonija/,32
8126,Beli Potok /Naselje Kolonija/,32
8127,Beli Potok /Naselje Kolonija/,32
8128,Beli Potok /Naselje Kolonija/,32
8129,Beli Potok /Naselje Kolonija/,32
8130,Beli Potok /Naselje Kolonija/,32
8360,Zemljoradnička (Ulaz),32
8361,Zemljoradnička (Ulaz),32
8362,Zemljoradnička (Ulaz),32
8363,Zemljoradnička (Ulaz),32
8364,Zemljoradnička (Ulaz),32
3535,Vrtić Milica,32
8377,Zabran Torlak,32
8203,Vrčin - Nadvožnjak,32
8379,Zemljoradnička (Put Za Deponiju),32
8407,Petrovdanska,32
7323,Zire Adamović,32
8409,Petrovdanska,32
8410,Petrovdanska,32
7322,Zire Adamović,32
4371,4. Jula,32
7320,Abebe Bikila,32
4365,Ulaz U Zaklopaču,32
7319,Abebe Bikila,32
4359,Mostine,32
8122,Saveza Boraca,32
7317,Dobanovački Put,32
7316,Dobanovački Put,32
8121,Saveza Boraca,32
8120,Saveza Boraca,32
4353,Put Za Zaklopaču,32
8380,Zemljoradnička (Put Za Deponiju),32
8118,Pošta,32
5898,Đure Gajića,32
8117,Pošta,32
8116,Pošta,32
8115,Pošta,32
8114,Pošta,32
8113,Pošta,32
8197,Vrčin Gornji Kraj,32
8215,Vrčin ,32
6417,Franje Krča,32
8209,Vrčin (Ivo Lola Ribar),32
8408,Petrovdanska,32
8119,Saveza Boraca,32
8390,Zemljoradnička (Izlaz) - Osečinska,32
8395,Zemljoradnička (Izlaz) - Osečinska,32
8387,Rakovica Selo (Gornji Kraj),32
8388,Rakovica Selo (Gornji Kraj),32
8389,Rakovica Selo (Gornji Kraj),32
8384,Rakovica Selo (Gornji Kraj),32
8391,Zemljoradnička (Izlaz) - Osečinska,32
8406,Petrovdanska,32
8392,Zemljoradnička (Izlaz) - Osečinska,32
8381,Zemljoradnička (Put Za Deponiju),32
8385,Rakovica Selo (Gornji Kraj),32
8394,Zemljoradnička (Izlaz) - Osečinska,32
7329,Viktora Starčića,32
8393,Zemljoradnička (Izlaz) - Osečinska,32
4377,Trafostanica,32
7326,Pavla Vujisića,32
8405,Petrovdanska,32
7325,Pavla Vujisića,32
8382,Zemljoradnička (Put Za Deponiju),32
8383,Zemljoradnička (Put Za Deponiju),32
8386,Rakovica Selo (Gornji Kraj),32
7328,Viktora Starčića,32
4383,Dom Kulture,32
7259,Grmovac /Crkva/,31
7015,Prnjavor /Ulaz/,31
7258,Grmovac /Crkva/,31
7331,Altina,31
4939,Grmovac /Ulaz/,31
4938,Grmovac /Ulaz/,31
7260,Grmovac /Crkva/,31
8764,Vrtić,31
4940,Grmovac /Ulaz/,31
7189,Trešnja /Koviona/,31
5544,Josipa Telarevića,31
5543,Josipa Telarevića,31
5542,Josipa Telarevića,31
7253,Grmovac,31
8763,Vrtić,31
7012,Prnjavor /Ulaz/,31
8762,Vrtić,31
8761,Vrtić,31
7396,Trešnja (Škola),31
8760,Vrtić,31
8759,Vrtić,31
7399,Trešnja /Koviona/,31
8758,Braće Jeremića,31
8757,Braće Jeremića,31
7254,Grmovac,31
7084,Srednji Prnjavor,31
7252,Grmovac,31
5804,Ulaz U Bečmen,31
8857,Orlovac,31
8856,Orlovac,31
8858,Orlovac,31
8859,Orlovac,31
7332,Altina,31
8756,Braće Jeremića,31
8860,Orlovac,31
8855,Orlovac,31
8854,Resnički Put,31
8853,Resnički Put,31
7087,Srednji Prnjavor,31
8852,Resnički Put,31
8851,Resnički Put,31
7960,Đurđevdan,31
7345,Ralja /Trafo/,31
8850,Resnički Put,31
8849,Resnički Put,31
9329,Ralja /Robna Kuća/,31
7036,Trešnja /Škola/,31
9326,Ralja /Robna Kuća/,31
5808,Ulaz U Bečmen,31
7963,Đurđevdan,31
5807,Ulaz U Bečmen,31
5805,Ulaz U Bečmen,31
7021,Prnjavor /Škola/,31
7009,Rasadnik,31
6982,Put Za Zuce,31
8963,Milorada Živkovića,31
8965,Milorada Živkovića,31
8970,Jove Mitrovića,31
8969,Jove Mitrovića,31
8968,Milorada Živkovića,31
5370,Bečmen Naselje,31
5369,Bečmen Naselje,31
8967,Milorada Živkovića,31
8966,Milorada Živkovića,31
8964,Milorada Živkovića,31
8972,Jove Mitrovića,31
8014,Grmovac (20.Nova),31
5367,Bečmen Naselje,31
7495,Ralja /Drumine/,31
7492,Ralja /Drumine/,31
7489,Ralja /Trafo/,31
5366,Bečmen Naselje,31
5379,Bečmen /Centar/,31
8971,Jove Mitrovića,31
8973,Jove Mitrovića,31
7441,Livnica,31
8983,Drobnjački Kraj 1,31
5376,Maksin Sokak,31
5375,Maksin Sokak,31
5373,Maksin Sokak,31
5372,Maksin Sokak,31
8986,Drobnjački Kraj 1,31
8985,Drobnjački Kraj 1,31
8984,Drobnjački Kraj 1,31
8982,Drobnjački Kraj 1,31
8974,Jove Mitrovića,31
8981,Drobnjački Kraj 1,31
8980,Drobnjački Kraj 2,31
8979,Drobnjački Kraj 2,31
8978,Drobnjački Kraj 2,31
8977,Drobnjački Kraj 2,31
8976,Drobnjački Kraj 2,31
8975,Drobnjački Kraj 2,31
7444,Ralja /Centar/,31
7447,Ralja /Centar/,31
7438,Livnica,31
8750,Rađevska,31
8746,Ličkih Brigada,31
7435,13.Oktobra,31
8747,Rađevska,31
8748,Rađevska,31
6997,Šuplja Stena,31
8749,Rađevska,31
6374,Mesara,31
7000,Raskrsnica-Vrčin,31
8015,Grmovac (20.Nova),31
8751,Rađevska,31
8752,Rađevska,31
7003,Raskrsnica-Vrčin,31
8753,Braće Jeremića,31
8754,Braće Jeremića,31
7006,Rasadnik,31
8755,Braće Jeremića,31
8745,Ličkih Brigada,31
6994,Šuplja Stena,31
8016,Grmovac (20.Nova),31
6378,Mesara,31
7432,13.Oktobra,31
8741,Ličkih Brigada,31
8742,Ličkih Brigada,31
6985,Put Za Zuce,31
8743,Ličkih Brigada,31
6375,Mesara,31
5378,Bečmen /Centar/,31
8350,Pumpa,31
8349,Pumpa,31
8348,Pumpa,31
6988,Kapija Šumadije,31
8744,Ličkih Brigada,31
6991,Kapija Šumadije,31
6377,Mesara,31
8100,Ravan (Ulaz),30
8099,Ravan (Ulaz),30
9064,Žička,30
9075,Vojina Jugovića,30
9063,Žička,30
5277,Surčinska Petlja,30
8105,Kremenje,30
9061,Don Kihotova,30
5032,Src  Surčin (Ulaz),30
8106,Kremenje,30
5271,Surčin /Izlaz/,30
8111,Leštane (Centar),30
8112,Leštane (Centar),30
5265,Braće Suzić,30
9058,Park Ključ,30
9057,Park Ključ,30
9055,Jakovička Src ,30
5033,Src  Surčin (Ulaz),30
4944,Grmovac /Ulaz/,30
4945,Grmovac /Ulaz/,30
