,DC,CC,BC,EVC
Živojina Tabakovića (Srednji Kraj)(2918),0.0006391818472355385,0.02982840800762631,0.0005506964295466472,3.3991975387507162e-15
Nova 3 - Prilaz(2986),0.0006391818472355385,0.02977079626651951,0.0005452262288000923,1.8585213753309342e-16
Blok 72(1282),0.0006391818472355385,0.041731684871764096,0.0005374185729213653,4.1706760315494294e-09
Škola Vojislav Ilić(214),0.0006391818472355385,0.04782940996637114,0.0005354119523286356,3.74799734905776e-06
Vatrosprem(748),0.0006391818472355385,0.04448014101725756,0.0005342045556702114,3.7528345268352595e-08
Vodovodna Stanica(1311),0.0006391818472355385,0.028445713142846753,0.0005331603500179158,4.495876793732067e-14
Generala Štefanika(2721),0.0006391818472355385,0.04335536434301866,0.0005327927874689497,5.1143589161452774e-08
Novi Železnički Most(1058),0.0006391818472355385,0.052719369187222,0.000532775674776852,5.492380674340875e-05
Mz Veliko Selo(1424),0.0006391818472355385,0.024558704644098924,0.0005262994346992291,1.3126396835896215e-17
Rasinska(1023),0.0006391818472355385,0.03563943687639528,0.0005256695870490629,1.1951396427078489e-11
Cvetni Trg(539),0.0006391818472355385,0.05281547498480859,0.000524416657895026,0.004882000954722298
Dr Aćima Medovića(3077),0.0006391818472355385,0.032609035485383776,0.00052043311809971,5.023176986357878e-14
Karaula(2699),0.0006391818472355385,0.022031022270413373,0.0005185460956289283,6.825416138030684e-23
Kaluđerica (Višnjićeva)(3133),0.0006391818472355385,0.03186873625030555,0.0005160834288202254,5.292988678582816e-14
Staro Sajmište(116),0.0006391818472355385,0.05719665118999744,0.0005084534843724388,0.0090260697647509
Jerusalimska(3052),0.0006391818472355385,0.038958128416151004,0.0005075475081154998,2.2671682783492367e-10
Oš Đura Jakšić(939),0.0006391818472355385,0.045912752564159,0.0005049563168217451,1.304914723907933e-07
Put Za Kumodraško Groblje(576),0.0006391818472355385,0.03944283373250977,0.0005017852641565546,5.910357419214452e-10
