,index,BC_lovain
960,Kosovopoljska(2154),3.7803274213099305e-06
1091,Ekonomski Fakultet(11),3.7803274213099305e-06
413,Džona Kenedija(406),3.771813170361034e-06
820,Petlja Radnička(3025),3.7632989194121383e-06
374,Narodnih Heroja(1985),3.708807713339202e-06
252,Vaznesenjska Crkva(1730),3.6781564099231756e-06
478,Zaplanjska(428),3.6781564099231756e-06
426,Garaža Novi Beograd(1986),3.6781564099231756e-06
1269,Miška Kranjca(2462),3.6781564099231756e-06
828,Teodora Drajzera(2422),3.6781564099231756e-06
624,Trebež(2343),3.6781564099231756e-06
17,Dinarska(75),3.6781564099231756e-06
88,Kolonija(2001),3.6781564099231756e-06
714,Zabrđanska(3161),3.6781564099231756e-06
704,Španskih Boraca(1102),3.6781564099231756e-06
415,Palata Srbija(364),3.6781564099231756e-06
849,Trebevićka(188),3.6440994061275904e-06
390,Zmaj(1855),3.6100424023320065e-06
1190,Nedeljka Gvozdenovića(605),3.575985398536421e-06
410,Beogradska Arena /Španskih Boraca/(331),3.575985398536421e-06
1202,Magelanova(2107),3.575985398536421e-06
340,Labudovo Brdo(2443),3.575985398536421e-06
888,Pijaca Zvezdara(99),3.473814387149666e-06
1033,"Vrtić ""Oaza""(3192)",3.473814387149666e-06
323,Vojno Medicinski Centar(1028),3.473814387149666e-06
780,Dom Zdravlja Blok 44(1147),3.473814387149666e-06
933,Zvezdara(832),3.473814387149666e-06
256,Kozjačka(770),3.473814387149666e-06
126,Vojvode Micka Krstića(656),3.473814387149666e-06
1166,Put Za Src(1984),3.473814387149666e-06
573,Partizanski Blok(765),3.473814387149666e-06
406,Džona Kenedija 1(3513),3.473814387149666e-06
1050,Mali Zbeg(2211),3.473814387149666e-06
1246,Fruškogorska(1824),3.473814387149666e-06
65,Milića Marinovića(677),3.473814387149666e-06
250,Šest Kaplara(363),3.4057003795584963e-06
354,Labudovo Brdo(2444),3.4057003795584963e-06
1032,Preduzeće Galenika Magmasil(1157),3.371643375762911e-06
1082,"Naselje ""Dr Ivan Ribar""(1149)",3.2694723643761562e-06
37,Toplice Milana(2906),3.2694723643761562e-06
1043,Zemun Park(2741),3.2694723643761562e-06
521,Kula Beograd(3106),3.2694723643761562e-06
74,Avala(1621),3.2694723643761562e-06
104,Omladinski Stadion(632),3.2694723643761562e-06
479,Naselje Braće Jerković(430),3.2694723643761562e-06
815,Ostružnica 1(932),3.2694723643761562e-06
886,Zvezdara(833),3.2694723643761562e-06
1002,Bajdina(1428),3.2694723643761562e-06
801,Naselje Belvil(2758),3.2694723643761562e-06
1216,Šabačka(249),3.2694723643761562e-06
286,Iv Beogradska Gimnazija(2438),3.2694723643761562e-06
450,Milutina Milankovića(1104),3.2694723643761562e-06
1039,Put Za Novi Sad(2742),3.2694723643761562e-06
298,Košutnjak(1228),3.2694723643761562e-06
188,Šest Kaplara(2848),3.2694723643761562e-06
225,Ljubićka (Univerzitet Singidunum)(448),3.2694723643761562e-06
1167,Braće Nikolić(1783),3.2694723643761562e-06
178,Dom Omladine(358),3.264607078119644e-06
333,Go Rakovica(876),3.1673013529894014e-06
725,Bežanijska Kosa /Groblje/(1033),3.1673013529894014e-06
16,Franše Deperea(150),3.1673013529894014e-06
784,Mz Mladost(1211),3.1673013529894014e-06
428,Mostar(396),3.1673013529894014e-06
838,Ilije Đuričića(1037),3.0651303416026465e-06
1030,Naselje Ekonomija(1167),3.0651303416026465e-06
1174,Krušedolska(1780),3.0651303416026465e-06
854,Ilije Đuričića(1038),3.0651303416026465e-06
142,"Pijaca ""Kalenić""(555)",3.0651303416026465e-06
869,Železnički Nadvožnjak(2371),3.0651303416026465e-06
619,Jablanička(1010),3.0651303416026465e-06
1123,Bare(2533),3.0651303416026465e-06
798,Agostina Neta(1263),3.0651303416026465e-06
761,Peđe Milosavljevića(2096),3.0651303416026465e-06
814,Železnički Nadvožnjak(2370),3.0651303416026465e-06
