,Id,Composite,DC,CC,BC,EVC,lat,lon,community
845,Vuka Karadžića(1325),0.001097577689275511,0.0006391818472355385,0.03141566265060241,0.0034886928513849246,3.897955136296718e-12,44.869221,20.450333,9
1268,Kombinatova(1241),0.0013368572843966238,0.0009587727708533077,0.035751419659281775,0.0028994548583025285,1.5345395175475467e-09,44.880695,20.452866,9
860,Šesti Prilaz(697),0.0010441183651412442,0.0006391818472355385,0.030486676085156136,0.0028828957607158865,1.9988700986800652e-13,44.864815,20.442982,9
675,Ovča /Centar/(1342),0.000989430588720186,0.0006391818472355385,0.02641331048513038,0.0028747774184334227,8.087738214353672e-17,44.888321,20.534739,9
665,Ovča /Centar/(1341),0.0009900056836979361,0.0006391818472355385,0.02646693113861093,0.002872750656117086,2.477015629354845e-16,44.888203,20.534718,9
844,Šesti Prilaz(763),0.0010418776857253427,0.0006391818472355385,0.03046560084123615,0.0028540065286503996,8.563101233025368e-13,44.865219,20.443705,9
861,Veliki Kanal(1326),0.0009891434435191843,0.0006391818472355385,0.029591170879791188,0.0022482094379813297,4.3532344871111884e-14,44.862534,20.439571,9
674,Žarka Zrenjanina(1344),0.0009375718922764869,0.0006391818472355385,0.02574079863110614,0.0022423388579493973,1.8161843452350134e-17,44.889179,20.538311,9
666,Njegoševa(1048),0.0009381111249576567,0.0006391818472355385,0.025791720931766102,0.0022403120956330865,5.642558466110086e-17,44.885563,20.536194,9
843,Veliki Kanal(1327),0.000986918972036941,0.0006391818472355385,0.029571315162741467,0.00221932020591592,1.887827237615897e-13,44.863209,20.440811,9
1267,Bele Bartoka(1239),0.0014707148297469573,0.001278363694471077,0.0345227062094532,0.0018465465650484116,3.940593905143406e-10,44.877758,20.451744,9
1658,Valjevskog Odreda(1248),0.0010455925766701898,0.0006391818472355385,0.035932063251455544,0.0018382182761412184,4.941680500125406e-10,44.875637,20.462017,9
1644,Drinske Divizije(1275),0.0010608725059347392,0.0006391818472355385,0.037280179192679785,0.0017993324216780068,8.840127401014778e-09,44.88554,20.457928,9
1762,Put Za Kotež(1723),0.001336747523034605,0.0009587727708533077,0.0420440192416221,0.0016577447246335399,2.344952823986797e-06,44.852051,20.478573,9
862,Cvećara(2854),0.0009348477606850707,0.0006391818472355385,0.02874677299328415,0.0016135231152467867,9.506544232369881e-15,44.860291,20.436359,9
673,Ovča /Beogradska/(1346),0.0008861570366310678,0.0006391818472355385,0.025101682269981468,0.0016099002974653285,4.106685931107851e-18,44.890266,20.542673,9
667,Železnicka Rampa(1347),0.0008866630474906134,0.0006391818472355385,0.025150104892575534,0.00160787353514913,1.2951550050861697e-17,44.875336,20.53936,9
842,Cvećara(2855),0.0009326381300476741,0.0006391818472355385,0.02872803393378505,0.001584633883181415,4.1789705879560125e-14,44.861229,20.43786,9
1659,Milana Ajvaza(1246),0.0010226205501253447,0.0006391818472355385,0.03557379658473362,0.0015698858473188586,4.5910447249830156e-10,44.877239,20.459524,9
1646,Kombinatova(1242),0.0012215318762012594,0.0009587727708533077,0.034932011521200346,0.0013606014823818015,8.249766329735684e-10,44.88007,20.452019,9
3030,Valjevskog Odreda(1247),0.001014429264851818,0.0006391818472355385,0.036936915667201815,0.0011822383396539779,1.0310821882216795e-09,44.875523,20.462936,9
1645,Save Mrkalja(1277),0.0010011814140594478,0.0006391818472355385,0.03597254635963349,0.0011758849101960445,2.007405835097293e-09,44.882725,20.454815,9
1759,Augusta Šenoe(1720),0.0010650164215095946,0.0006391818472355385,0.04105598782359965,0.0011178702568041073,9.38554687783383e-07,44.85276,20.472969,9
863,Pumpa(1328),0.0008812475883954872,0.0006391818472355385,0.027949228694184168,0.000979909588131862,2.1031378853092107e-15,44.858944,20.43432,9
672,Nicu Rada(2192),0.0008351537624780136,0.0006391818472355385,0.024493534145348654,0.0009774617369813282,9.435090002319573e-19,44.888401,20.542187,9
668,Ovča /Železnička Stanica/(1349),0.0008356289389946306,0.0006391818472355385,0.02453963672867585,0.0009754349746651063,2.9992184919092523e-18,44.875336,20.543343,9
